project,bug_id,tool,rank,mrr,map,map_recalc_single_gt,map_recalc_with_gt,map_recalc_conservative,map_diff_single,map_diff_with_gt,map_diff_conservative,top@1,top@5,top@10
Closure,163,buglocator,102.0,0.009804,0.009804,0.00980392156862745,0.001633986928104575,0.00980392156862745,7.843137254937016e-08,0.008170013071895426,7.843137254937016e-08,0,0,0
Closure,163,locus,242.0,0.004132,0.004132,0.004132231404958678,0.0006887052341597796,0.004132231404958678,2.3140495867754463e-07,0.0034432947658402206,2.3140495867754463e-07,0,0,0
Closure,164,FlexFL,4.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0,1,1
Closure,164,boostnsift,3.0,0.333333,0.333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.3333333332441484e-07,3.3333333332441484e-07,3.3333333332441484e-07,0,1,1
Closure,164,buglocator,512.0,0.001953,0.001953,0.001953125,0.001953125,0.001953125,1.2499999999990817e-07,1.2499999999990817e-07,1.2499999999990817e-07,0,0,0
Closure,164,locus,122.0,0.008197,0.008197,0.00819672131147541,0.00819672131147541,0.00819672131147541,2.7868852458916293e-07,2.7868852458916293e-07,2.7868852458916293e-07,0,0,0
Closure,165,FlexFL,1.0,1.0,0.25,1.0,1.0,1.0,0.75,0.75,0.75,1,1,1
Closure,165,boostnsift,3.0,0.333333,0.333333,0.3333333333333333,0.41666666666666663,0.3333333333333333,3.3333333332441484e-07,0.08333366666666664,3.3333333332441484e-07,0,1,1
Closure,165,buglocator,18.0,0.055556,0.055556,0.05555555555555555,0.018518518518518517,0.05555555555555555,4.4444444444874387e-07,0.037037481481481484,4.4444444444874387e-07,0,0,0
Closure,165,locus,24.0,0.041667,0.041667,0.041666666666666664,0.013888888888888888,0.041666666666666664,3.333333333382926e-07,0.027778111111111115,3.333333333382926e-07,0,0,0
Closure,166,FlexFL,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0,1,1
Closure,166,boostnsift,7.0,0.142857,0.142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.4285714283746032e-07,1.4285714283746032e-07,1.4285714283746032e-07,0,0,1
Closure,166,buglocator,45.0,0.022222,0.022222,0.022222222222222223,0.022222222222222223,0.022222222222222223,2.2222222222437193e-07,2.2222222222437193e-07,2.2222222222437193e-07,0,0,0
Closure,166,locus,19.0,0.052632,0.052632,0.05263157894736842,0.05263157894736842,0.05263157894736842,4.2105263158009887e-07,4.2105263158009887e-07,4.2105263158009887e-07,0,0,0
Closure,167,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,167,boostnsift,414.0,0.002415,0.002415,0.0024154589371980675,0.0012077294685990338,0.0024154589371980675,4.589371980674717e-07,0.0012072705314009663,4.589371980674717e-07,0,0,0
Closure,167,buglocator,638.0,0.001567,0.001567,0.001567398119122257,0.0007836990595611285,0.001567398119122257,3.9811912225695863e-07,0.0007833009404388715,3.9811912225695863e-07,0,0,0
Closure,167,locus,716.0,0.001397,0.001397,0.0013966480446927375,0.0006983240223463687,0.0013966480446927375,3.519553072625463e-07,0.0006986759776536313,3.519553072625463e-07,0,0,0
Closure,168,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,168,boostnsift,30.0,0.033333,0.033333,0.03333333333333333,0.03333333333333333,0.03333333333333333,3.3333333333135373e-07,3.3333333333135373e-07,3.3333333333135373e-07,0,0,0
Closure,168,buglocator,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0,1,1
Closure,168,locus,18.0,0.055556,0.055556,0.05555555555555555,0.05555555555555555,0.05555555555555555,4.4444444444874387e-07,4.4444444444874387e-07,4.4444444444874387e-07,0,0,0
Closure,169,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,169,boostnsift,108.0,0.009259,0.009259,0.009259259259259259,0.001851851851851852,0.009259259259259259,2.5925925925887605e-07,0.007407148148148148,2.5925925925887605e-07,0,0,0
Closure,169,buglocator,162.0,0.006173,0.006173,0.006172839506172839,0.0012345679012345679,0.006172839506172839,1.6049382716050442e-07,0.004938432098765432,1.6049382716050442e-07,0,0,0
Closure,169,locus,140.0,0.007143,0.007143,0.007142857142857143,0.0014285714285714286,0.007142857142857143,1.4285714285740964e-07,0.005714428571428572,1.4285714285740964e-07,0,0,0
Closure,170,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,170,boostnsift,510.0,0.001961,0.001961,0.00196078431372549,0.00196078431372549,0.00196078431372549,2.1568627450990058e-07,2.1568627450990058e-07,2.1568627450990058e-07,0,0,0
Closure,170,buglocator,632.0,0.001582,0.001582,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,2.784810126581303e-07,2.784810126581303e-07,2.784810126581303e-07,0,0,0
Closure,170,locus,399.0,0.002506,0.002506,0.002506265664160401,0.002506265664160401,0.002506265664160401,2.6566416040088234e-07,2.6566416040088234e-07,2.6566416040088234e-07,0,0,0
Closure,171,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,171,boostnsift,20.0,0.05,0.05,0.05,0.025,0.05,0.0,0.025,0.0,0,0,0
Closure,171,buglocator,154.0,0.006494,0.006494,0.006493506493506494,0.003246753246753247,0.006493506493506494,4.935064935058381e-07,0.003247246753246753,4.935064935058381e-07,0,0,0
Closure,171,locus,20.0,0.05,0.05,0.05,0.025,0.05,0.0,0.025,0.0,0,0,0
Closure,172,FlexFL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Closure,172,boostnsift,38.0,0.026316,0.026316,0.02631578947368421,0.02631578947368421,0.02631578947368421,2.1052631579004943e-07,2.1052631579004943e-07,2.1052631579004943e-07,0,0,0
Closure,172,buglocator,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0,1,1
Closure,172,locus,6.0,0.166667,0.166667,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.333333333521704e-07,3.333333333521704e-07,3.333333333521704e-07,0,0,1
Closure,173,FlexFL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
Closure,173,boostnsift,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
