project,bug_id,tool,detected,rank,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Jsoup,17,buglocator,Yes,69,5.967975854873657,2025-11-18T17:37:37.693315,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Jsoup,17,locus,No,N/A,9.02229380607605,2025-11-22T11:42:42.013923,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,18,boostnsift,No,N/A,5.8030431270599365,2025-11-18T17:37:43.009805,2025-12-07T16:19:43.253541,10.71,10.71,29360128.0,29360128,134861973094,486,0,0,0,0,0,0
Jsoup,18,buglocator,Yes,53,5.910694122314453,2025-11-18T17:37:43.607229,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Jsoup,18,locus,Yes,47,8.944195985794067,2025-11-22T11:42:43.946747,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,19,boostnsift,Yes,10,5.794431686401367,2025-11-18T17:37:49.162426,2025-12-07T16:19:43.253541,0.65,0.65,23645388.0,23645388,134861973094,486,0,0,0,0,0,1
Jsoup,19,buglocator,Yes,3,6.434441089630127,2025-11-18T17:37:50.044896,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1
Jsoup,19,locus,No,N/A,8.780704021453857,2025-11-22T11:42:50.799637,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,20,boostnsift,Yes,15,9.378083944320679,2025-11-18T17:38:06.738336,2025-12-07T16:19:43.253541,1.595,3.19,11398021.0,22796042,134861973094,486,0,0,0,0,0,0
Jsoup,20,buglocator,Yes,12,5.347917079925537,2025-11-18T17:38:04.209395,2025-12-02T15:34:25.387814,591.83,591.83,379269939.0,379269939,134861973094,266,0,0,0,0,0,0
Jsoup,20,locus,Yes,14,8.77674412727356,2025-11-22T11:42:57.813107,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
