tool,feature,unique_count,other_count,unique_median,other_median,unique_mean,other_mean,unique_std,other_std,u_statistic,p_value,cliffs_delta,effect_size,median_diff,mean_diff,pval_adj,reject,significant,abs_delta
boostnsift,automated_readability_index,17,140,26.1,31.7,27.4,37.06785714285715,9.2951600308978,25.92196998202932,876.5,0.07703043876281102,-0.2634453781512605,small,-5.599999999999998,-9.667857142857152,1.0,False,False,0.2634453781512605
boostnsift,confidence,17,145,5.0,5.0,4.0588235294117645,3.0413793103448277,1.7489492643904125,2.0065028382354066,1546.0,0.04764035806121866,0.25436105476673426,small,0.0,1.0174442190669368,1.0,False,False,0.25436105476673426
boostnsift,has_version_info,17,145,1.0,0.0,0.6470588235294118,0.4,0.492592183071889,0.4915960401250875,1537.0,0.05241210263730508,0.24705882352941178,small,1.0,0.24705882352941178,1.0,False,False,0.24705882352941178
boostnsift,coleman_liau_index,17,140,27.85,30.365000000000002,27.17647058823529,36.289571428571435,7.679462823967956,25.39828385613067,900.0,0.10196453675385457,-0.24369747899159663,small,-2.5150000000000006,-9.113100840336145,1.0,False,False,0.24369747899159663
boostnsift,technical_depth,17,145,3.0,1.0,2.7058823529411766,1.8,1.7594283831102981,1.9170289512680814,1527.0,0.08811504358936517,0.2389452332657201,small,2.0,0.9058823529411766,1.0,False,False,0.2389452332657201
boostnsift,num_versions,17,145,1.0,0.0,1.9411764705882353,1.2275862068965517,2.384077081264732,2.0808145693527456,1525.0,0.07572865091203523,0.23732251521298176,small,1.0,0.7135902636916835,1.0,False,False,0.23732251521298176
boostnsift,repair_difficulty,17,145,3.0,3.0,3.176470588235294,3.682758620689655,1.1850788010532811,1.4127566053831213,981.0,0.140897341238704,-0.20405679513184585,small,0.0,-0.506288032454361,1.0,False,False,0.20405679513184585
boostnsift,actionability,17,145,3.0,2.0,3.0,2.103448275862069,1.8708286933869707,2.1625734988506253,1475.5,0.15848234636697123,0.1971602434077079,small,1.0,0.896551724137931,1.0,False,False,0.1971602434077079
boostnsift,specificity,17,145,3.0,2.0,3.0,2.103448275862069,1.8708286933869707,2.168986379788682,1474.0,0.16107751793747693,0.19594320486815417,small,1.0,0.896551724137931,1.0,False,False,0.19594320486815417
boostnsift,modal_density,17,145,0.0,0.0,0.08047962267911117,0.17018374289153046,0.16681724456375374,0.3731148925933066,994.0,0.1596203698450065,-0.19350912778904666,small,0.0,-0.08970412021241929,1.0,False,False,0.19350912778904666
boostnsift,ambiguity,17,145,0.0032362459546925,0.0,0.007456787851289012,0.0034081553495766896,0.011016798076556521,0.0056810722670559205,1455.0,0.16915677808166774,0.18052738336713997,small,0.0032362459546925,0.004048632501712323,1.0,False,False,0.18052738336713997
boostnsift,clarity,17,145,4.0,3.0,3.176470588235294,2.2413793103448274,1.9116515803633993,2.249308109881809,1454.5,0.1947914206528707,0.18012170385395537,small,1.0,0.9350912778904665,1.0,False,False,0.18012170385395537
boostnsift,summary_chars,17,145,12.0,12.0,33.88235294117647,25.17241379310345,32.42468649220293,30.920674679013132,1451.5,0.10435777207483271,0.17768762677484787,small,0.0,8.709939148073023,1.0,False,False,0.17768762677484787
boostnsift,flesch_reading_ease,17,140,6.34,6.74,12.231764705882354,-11.275500000000001,25.48681601222829,77.15443450027713,1392.5,0.2538225110872191,0.17016806722689076,small,-0.40000000000000036,23.507264705882356,1.0,False,False,0.17016806722689076
boostnsift,fine_grained_confidence,16,142,4.5,2.5,3.75,2.971830985915493,1.6931233465600393,1.9855637210577206,1302.0,0.2819647013615598,0.14612676056338028,negligible,2.0,0.778169014084507,1.0,False,False,0.14612676056338028
boostnsift,temporal_density,17,145,0.0,0.0,0.07018854972819166,0.04604735234293093,0.13417193940387193,0.1542519453778046,1404.0,0.21267369173203776,0.13914807302231239,negligible,0.0,0.02414119738526073,1.0,False,False,0.13914807302231239
boostnsift,n_words,17,145,94.0,102.0,144.2941176470588,140.51724137931035,92.88417835258755,144.61352247015512,1390.5,0.3893494718265591,0.1281947261663286,negligible,-8.0,3.776876267748463,1.0,False,False,0.1281947261663286
boostnsift,causal_reasoning_quality,17,145,3.0,2.0,2.6470588235294117,2.0827586206896553,1.8007351439963428,2.126236399381226,1389.0,0.36362601698068653,0.12697768762677486,negligible,1.0,0.5643002028397563,1.0,False,False,0.12697768762677486
boostnsift,num_temporal_markers,17,145,0.0,0.0,0.5294117647058824,0.42758620689655175,0.8744746321952063,1.3003462550958351,1388.5,0.25512102187164887,0.12657200811359026,negligible,0.0,0.10182555780933061,1.0,False,False,0.12657200811359026
boostnsift,redundancy,17,145,0.3135163486003876,0.2787098288536072,0.3033863972215092,0.28170372463505844,0.10079719302247561,0.11163192302015755,1382.0,0.41547113539381,0.12129817444219067,negligible,0.034806519746780396,0.021682672586450735,1.0,False,False,0.12129817444219067
