project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Closure,111,locus,Yes,254,0.003937,0.003937,0.19924449920654297,2026-07-23T10:21:15.973801,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,112,BRaIn,Yes,4.0,0.25,0.25,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,1,1
Closure,112,FlexFL,Yes,1,1.000000,1.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Closure,112,bluir,Yes,2,0.500000,0.500000,22.935960292816162,2026-07-24T07:55:07.323032,2026-08-02T09:17:04.967189,113.72333333333334,260.72,667622746.3333334,1439887785,134861973094,586,0,0,0,0,1,1
Closure,112,boostnsift,No,N/A,0.000000,0.000000,15.653171062469482,2026-07-24T07:55:18.972859,2026-08-02T09:17:04.967189,15.355,28.63,289150074.5,555430707,134861973094,736,0,0,0,0,0,0
Closure,112,buglocator,Yes,27,0.037037,0.037037,85.8629698753357,2026-08-02T10:09:11.597979,2026-08-03T08:48:34.293344,384.67,769.34,277715353.5,555430707,134861973094,426,0,0,0,0,0,0
Closure,112,locus,Yes,7,0.142857,0.142857,92.98809909820557,2026-08-02T10:07:54.084101,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
Closure,113,BRaIn,Yes,1.0,1.0,1.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,1,1,1
Closure,113,FlexFL,Yes,1,1.000000,1.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Closure,113,bluir,Yes,6,0.166667,0.166667,20.41528058052063,2026-07-24T07:55:50.550530,2026-08-02T09:17:04.967189,233.38333333333335,471.51,1148084464.0,1505386037,134861973094,806,0,0,0,0,0,1
Closure,113,boostnsift,Yes,116,0.008621,0.008621,20.680314779281616,2026-07-24T07:55:59.671387,2026-08-02T09:17:04.967189,227.06333333333336,462.25,480317712.6666667,636275916,134861973094,586,0,0,N/A,0,0,0
Closure,113,buglocator,Yes,2,0.500000,0.500000,96.21656727790833,2026-08-02T10:10:51.357106,2026-08-03T08:48:34.293344,339.7,679.4,219204812.5,438409625,134861973094,516,0,0,0,0,1,1
Closure,113,locus,Yes,2,0.500000,0.500000,91.51232051849365,2026-08-02T10:09:28.825162,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Closure,114,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,114,FlexFL,No,N/A,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,114,bluir,Yes,29,0.034483,0.034483,21.252630949020386,2026-07-24T07:56:31.543371,2026-08-02T09:17:04.967189,204.31333333333336,378.08,1116750216.6666667,1466731331,134861973094,806,0,0,0,0,0,0
Closure,114,boostnsift,No,N/A,0.000000,0.000000,20.077696561813354,2026-07-24T07:56:39.453669,2026-08-02T09:17:04.967189,100.49,227.97,489405371.3333333,792199168,134861973094,586,0,0,0,0,0,0
Closure,114,buglocator,Yes,26,0.038462,0.038462,52.43706560134888,2026-08-02T10:11:46.990135,2026-08-03T08:48:34.293344,421.04,560.59,1035160518.5,1517197197,134861973094,586,0,0,0,0,0,0
Closure,114,locus,No,N/A,0.000000,0.000000,98.9607343673706,2026-08-02T10:11:10.550110,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,115,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,115,FlexFL,No,N/A,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Closure,115,bluir,Yes,14,0.071429,0.071429,22.689275979995728,2026-07-23T10:22:44.456312,2026-08-02T09:17:04.967189,257.00666666666666,450.53,1116999078.6666667,1515049713,134861973094,806,0,0,N/A,0,0,0
Closure,115,boostnsift,No,N/A,0.000000,0.000000,18.691166877746582,2026-07-23T10:22:42.512016,2026-08-02T09:17:04.967189,39.945,79.89,37282119.5,74564239,134861973094,266,0,0,0,0,0,0
Closure,115,buglocator,Yes,14,0.071429,0.071429,66.97699356079102,2026-08-02T10:12:56.904743,2026-08-03T08:48:34.293344,410.44500000000005,543.35,882320080.0,1458141396,134861973094,736,0,4010000,0,0,0,0
Closure,115,locus,Yes,6,0.166667,0.166667,4.6981117725372314,2026-07-23T10:22:18.648756,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
Closure,116,BRaIn,No,,0.0,0.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,0,0,0
Closure,116,FlexFL,Yes,1,1.000000,1.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Closure,116,bluir,Yes,16,0.062500,0.062500,23.344608545303345,2026-07-23T10:23:13.107641,2026-08-02T09:17:04.967189,251.12666666666667,433.19,1127370194.3333333,1517197197,134861973094,586,0,0,0,0,0,0
Closure,116,boostnsift,Yes,9,0.111111,0.111111,12.346256494522095,2026-07-23T10:23:24.365201,2026-08-02T09:17:04.967189,2.01,2.01,23184015.0,23184015,134861973094,486,0,0,0,0,0,1
Closure,116,buglocator,Yes,17,0.058824,0.058824,63.25720429420471,2026-08-02T10:13:29.862495,2026-08-03T08:48:34.293344,329.385,658.77,150942515.0,301885030,134861973094,266,0,0,0,0,0,0
Closure,116,locus,Yes,6,0.166667,0.166667,0.20836758613586426,2026-07-23T10:22:46.895440,2026-08-03T08:48:34.293344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1
Closure,117,BRaIn,Yes,1.0,1.0,1.0,N/A,2026-08-07T16:33:38.077290,2026-08-07T16:33:38.077290,,,,,,,,,,1,1,1
Closure,117,FlexFL,Yes,5,0.200000,0.200000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Closure,117,bluir,No,N/A,0.000000,0.000000,20.62276530265808,2026-07-23T10:23:55.768832,2026-08-02T09:17:04.967189,262.64,449.21,1138257209.6666667,1526860873,134861973094,806,0,0,0,0,0,0
Closure,117,boostnsift,No,N/A,0.000000,0.000000,16.78549575805664,2026-07-23T10:24:01.353543,2026-08-02T09:17:04.967189,121.72999999999999,212.01,319501106.5,443337932,134861973094,516,0,0,N/A,0,0,0
