project,bug_id,tool,succeeded,duration_seconds,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,emissions_kg_co2,gpu_energy_nvml_kwh
JacksonDatabind,JacksonDatabind-57,blia,True,86.61215901374817,0.0015580495865763217,0.0006786433497243199,0.0,0.0008794062368520019,0.0007238480252291471,0.0
JacksonDatabind,JacksonDatabind-57,bluir,True,17.567161321640015,0.00026406776673904855,0.00011217898907470337,0.0,0.00015188877766434517,0.00012268218747822762,0.0
JacksonDatabind,JacksonDatabind-57,boostnsift,True,19.542625904083252,0.0003003196283262578,0.0001277019133810309,0.0,0.0001726177149452269,0.0001395242948455828,0.0
JacksonDatabind,JacksonDatabind-57,buglocator,True,64.8254246711731,0.001137772758543647,0.0004884556937606284,0.0,0.0006493170647830185,0.0005285932948007587,0.0
JacksonDatabind,JacksonDatabind-57,locus,True,98.56021690368652,0.001761671657243653,0.0007561351324836333,0.0,0.0010055365247600195,0.0008184479885521997,0.0
JacksonDatabind,JacksonDatabind-58,blia,True,88.70689105987549,0.0015824048561081184,0.0006809984454715312,0.0,0.0009014064106365872,0.0007351631424798462,0.0
JacksonDatabind,JacksonDatabind-58,bluir,True,21.32648015022278,0.00034937792071862916,0.00014847193444765842,0.0,0.00020090598627097074,0.00016231609067498504,0.0
JacksonDatabind,JacksonDatabind-58,boostnsift,True,22.313649892807007,0.0003650874405831118,0.00015514634301583996,0.0,0.00020994109756727186,0.0001696145136707456,0.0
JacksonDatabind,JacksonDatabind-58,buglocator,True,88.89362597465515,0.0015813677247341557,0.0006779577236505679,0.0,0.0009034100010835876,0.0007346813057633425,0.0
JacksonDatabind,JacksonDatabind-58,locus,True,66.4296190738678,0.0011788773332543113,0.0005125227116996899,0.0,0.0006663546215546214,0.0005476899047472875,0.0
JacksonDatabind,JacksonDatabind-59,blia,True,92.47529315948486,0.0016562197695200918,0.0007148707774503225,0.0,0.0009413489920697692,0.0007694565178422613,0.0
JacksonDatabind,JacksonDatabind-59,bluir,True,17.561915636062622,0.00026481691119067746,0.00011300116773294456,0.0,0.00015181574345773293,0.00012303022950243208,0.0
JacksonDatabind,JacksonDatabind-59,boostnsift,True,31.0804660320282,0.0005299015037757973,0.0002252152316759761,0.0,0.0003046862720998211,0.00024618482003318257,0.0
JacksonDatabind,JacksonDatabind-59,buglocator,True,84.86623859405518,0.001506251732041817,0.0006452755407380209,0.0,0.0008609761913037961,0.0006997834671823795,0.0
JacksonDatabind,JacksonDatabind-59,locus,True,84.70564937591553,0.0015105870896435954,0.0006518232565862533,0.0,0.0008587638330573422,0.0007017976136291594,0.0
JacksonDatabind,JacksonDatabind-6,blia,True,75.40798330307007,0.001333256346773913,0.0005721811923727583,0.0,0.0007610751544011549,0.0006194122331223052,0.0
JacksonDatabind,JacksonDatabind-6,bluir,True,19.56751012802124,0.000302085183904133,0.00012951304010916422,0.0,0.00017257214379496876,0.0001403445472492855,0.0
JacksonDatabind,JacksonDatabind-6,boostnsift,True,15.161878108978271,0.0002369054588045853,0.00010156163395294823,0.0,0.00013534382485163706,0.00011006295948418708,0.0
JacksonDatabind,JacksonDatabind-6,buglocator,True,79.88609457015991,0.0014155574229625907,0.0006072303433175433,0.0,0.0008083270796450475,0.0006576481609044982,0.0
JacksonDatabind,JacksonDatabind-6,locus,True,56.0031898021698,0.0009728292445329716,0.00041711629594659376,0.0,0.0005557129485863778,0.00045196284740059515,0.0
JacksonDatabind,JacksonDatabind-60,blia,True,92.1483952999115,0.0016486174116072732,0.0007111467026242542,0.0,0.000937470708983019,0.0007659245687889766,0.0
JacksonDatabind,JacksonDatabind-60,bluir,True,20.580963373184204,0.00033670574396678105,0.00014305873503530977,0.0,0.00019364700893147126,0.00015642877476655095,0.0
JacksonDatabind,JacksonDatabind-60,boostnsift,True,17.385490894317627,0.00027824651193838443,0.000118251407755252,0.0,0.00015999510418313243,0.00012926943399540626,0.0
